name,Appearances 2021-2023,mean total - bonus 2021 - 2023,Std total - bonus 2021 - 2023,Appearances 2023-24,mean total - bonus 2023-24,Effect size,SE,t,p-value,BH Stat Signf,Effect size label,Current Price (M),Average opposition strength 2023-24
Trent Alexander-Arnold,69,4.507246376811594,3.328235658749318,8,3.25,-0.3777516094770888,1.1767090018442594,-1.068442898661528,0.16038767522176944,False,Small,7.9,3.125
Andrew Robertson,63,4.349206349206349,3.0856521774106427,8,2.875,-0.4777616738525094,1.0909427895150505,-1.3513140774885801,0.10931845172970499,False,Small,6.5,3.125
Virgil van Dijk,66,4.303030303030303,3.234286020222401,8,2.875,-0.4415287621754944,1.1434927885980555,-1.248831927292778,0.12593495334066798,False,Small,6.0,3.125
Aymeric Laporte,45,4.2,3.08662805133251,1,1.0,-1.0367300325086293,3.08662805133251,-1.0367300325086293,,False,Large,4.9,2.0
Kieran Trippier,44,4.181818181818182,2.7725626402446415,10,4.7,0.18689634299338892,0.8767612898663089,0.5910181302151608,0.284525905676013,False,Very small,7.0,3.1
Joel Matip,45,4.044444444444444,3.044783583558456,7,2.0,-0.6714580489346603,1.1508200225868181,-1.7765110132937498,0.06299180013417012,False,Medium,4.9,3.142857142857143
John Stones,37,3.945945945945946,2.9339577549971825,3,3.0,-0.32241294010958055,1.6939212996386135,-0.5584355932874551,0.3163617099221031,False,Small,5.3,3.6666666666666665
William Saliba,27,3.814814814814815,3.3631148226816925,10,4.0,0.05506359281468763,1.0635102872347455,0.17412636944649482,0.4328099791258555,False,Very small,5.2,3.2
Sergio Reguilón,25,3.8,2.645751311064591,3,2.3333333333333335,-0.5543478937468663,1.527525231651947,-0.9601587170383661,0.21914639334650915,False,Medium,4.4,3.3333333333333335
Reece James,42,3.6666666666666665,4.44295367952154,3,1.3333333333333333,-0.5251761556930319,2.5651405028687995,-0.9096317845840343,0.22951716986396786,False,Medium,5.3,3.6666666666666665
Pedro Porro,15,3.6,3.6015869518072963,9,4.111111111111111,0.14191275067082088,1.2005289839357653,0.4257382520124627,0.3407604016610866,False,Very small,5.2,3.0
Gabriel dos Santos Magalhães,73,3.5753424657534247,3.282604860892481,8,2.875,-0.21334960966426347,1.1605760785464982,-0.6034438230284148,0.28262311008978513,False,Small,4.7,3.375
Jakub Kiwior,7,3.5714285714285716,4.117326918327103,3,2.6666666666666665,-0.21974497597813192,2.377139804637845,-0.38060946310212695,0.37005793908241325,False,Small,4.3,2.6666666666666665
Ben Mee,58,3.5,3.1246052382239973,2,1.5,-0.6400808574259401,2.2094295524791963,-0.9052110295871639,0.2658236581647423,False,Medium,4.8,3.5
Oleksandr Zinchenko,42,3.4761904761904763,2.8562135538633906,9,3.2222222222222223,-0.08891780995322626,0.9520711846211302,-0.2667534298596788,0.3982030581898036,False,Very small,4.9,3.2222222222222223
Fabian Schär,61,3.459016393442623,2.820010463880133,10,3.4,-0.02092772143881366,0.8917656091369212,-0.06617926598418729,0.4743409441004848,False,Very small,5.2,3.1
Benjamin White,70,3.4571428571428573,2.4829021955424264,10,4.4,0.37973994487171575,0.7851626145346836,1.2008431443413987,0.13023090453673847,False,Small,5.6,3.2
Nathan Aké,40,3.425,2.6591641254638354,8,2.75,-0.25383916454658856,0.9401564927017366,-0.7179655783264826,0.24801768006652386,False,Small,5.1,2.875
Matt Doherty,27,3.4074074074074074,4.23592020026581,5,1.0,-0.5683316242020657,1.8943611030117748,-1.2708281454786836,0.13633471190834673,False,Medium,4.3,3.4
Sven Botman,36,3.361111111111111,2.192881701946131,5,5.2,0.838571860605576,0.9806865104333963,1.875103684332546,0.06701883931063675,False,Large,4.7,3.4
Ben Davies,60,3.3,2.775803441485494,5,1.6,-0.6124352951627694,1.241377037467885,-1.3694469518041006,0.12135474444657018,False,Medium,4.3,3.2
Pervis Estupiñán,35,3.2285714285714286,3.1723596180475013,6,3.3333333333333335,0.03302333826402155,1.2951103908044859,0.08089032835018002,0.4693336112549973,False,Very small,5.0,3.0
Thiago Emiliano da Silva,59,3.1864406779661016,2.6747515274300127,10,2.7,-0.1818638751964708,0.8458307001693178,-0.5751040697254499,0.28965613108470767,False,Very small,5.0,3.0
Kristoffer Ajer,33,3.1818181818181817,3.066497854378687,8,2.5,-0.22234425530238208,1.0841707136625838,-0.6288845227287494,0.2746940607051662,False,Small,4.5,3.0
Kyle Walker,47,3.1702127659574466,2.4166015387781234,10,3.7,0.21922821182610988,0.7641965059606589,0.6932604767363686,0.252820733572595,False,Small,5.3,3.1
Dan Burn,67,3.1194029850746268,2.3964771370651134,10,3.6,0.20054312536189878,0.7578326113645283,0.6341730452322792,0.27087456721975117,False,Small,4.7,3.1
Tyrone Mings,71,3.084507042253521,3.1970811637815584,1,0.0,-0.9647884693065212,3.1970811637815584,-0.9647884693065212,,False,Large,4.2,4.0
Raphaël Varane,46,3.0652173913043477,2.751986546422569,6,2.8333333333333335,-0.08426060740465853,1.1234938029565642,-0.2063954935583914,0.4223116541620185,False,Very small,5.0,2.6666666666666665
Ethan Pinnock,62,3.0483870967741935,2.6822269885659256,10,3.4,0.13108991324175703,0.8481946485442733,0.4145427041178193,0.34409145810667896,False,Very small,4.5,3.1
Rúben Gato Alves Dias,26,3.0384615384615383,2.181389818088811,9,2.888888888888889,-0.0685675931611779,0.727129939362937,-0.20570277948353374,0.42108056874221234,False,Very small,5.5,3.2222222222222223
