name,Appearances 2021-2023,mean total - bonus 2021 - 2023,Std total - bonus 2021 - 2023
Erling Haaland,35,6.628571428571429,4.359477264169033
Callum Wilson,49,4.040816326530612,3.384764785485282
Gabriel Fernando de Jesus,54,3.925925925925926,3.805913233585247
Aleksandar Mitrović,24,3.875,3.603289559856925
Alexander Isak,22,3.727272727272727,2.6935870610416983
Ollie Watkins,72,3.6666666666666665,2.478072854139388
Dominic Solanke,33,3.515151515151515,2.77399995630421
Cody Gakpo,21,3.4761904761904763,2.8039088362328686
Darwin Núñez Ribeiro,29,3.1724137931034484,2.854432211707177
Taiwo Awoniyi,27,3.111111111111111,2.8193470784417354
Michail Antonio,69,2.9855072463768115,2.4222786648306536
Evan Ferguson,20,2.9,2.673456268775054
Danny Welbeck,56,2.892857142857143,2.386923249164622
Julián Álvarez,31,2.870967741935484,2.952309101746981
Danny Ings,65,2.7384615384615385,2.5816475061777595
Divock Origi,7,2.7142857142857144,2.138089935299395
Dominic Calvert-Lewin,34,2.7058823529411766,1.9467052470965098
Anthony Martial,29,2.5517241379310347,2.229449113515196
Odsonne Edouard,63,2.4603174603174605,2.270607399377879
Yoane Wissa,68,2.4558823529411766,2.228940070234922
Raúl Jiménez,49,2.4285714285714284,2.081665999466133
Armando Broja,44,2.3181818181818183,1.9382649550411843
Carlos Vinícius Alves Morais,28,2.2142857142857144,2.131894355959869
Chris Wood,59,2.1864406779661016,1.5025791191651963
Neal Maupay,59,2.1186440677966103,1.8390847214055432
João Pedro Junqueira de Jesus,28,2.0,1.49071198499986
Kieffer Moore,27,2.0,2.0939473213563384
Matheus Santos Carneiro Da Cunha,17,1.9411764705882353,1.2485285456935955
Eddie Nketiah,30,1.9333333333333333,2.0998084203800236
Jay Rodriguez,29,1.9310344827586208,1.602030730995566
