name,Appearances 2021-2023,mean total - bonus 2021 - 2023,Std total - bonus 2021 - 2023
Stefan Ortega Moreno,3,6.0,2.0
Alisson Ramses Becker,73,4.219178082191781,2.5993940284359534
Dean Henderson,18,3.888888888888889,3.233808333817773
David Raya Martin,62,3.806451612903226,2.110385790831832
Jason Steele,16,3.6875,2.798064807445794
Ederson Santana de Moraes,72,3.6666666666666665,2.258006100367263
José Malheiro de Sá,73,3.6301369863013697,2.705482342059609
Nick Pope,73,3.5753424657534247,2.2786314619572896
Aaron Ramsdale,72,3.5416666666666665,2.325229051264643
Martin Dubravka,28,3.4642857142857144,2.1166385449950424
Sam Johnstone,9,3.4444444444444446,2.697735676039774
Bernd Leno,40,3.375,2.1326220769458715
Lukasz Fabianski,73,3.3424657534246576,2.29261603415419
Caoimhin Kelleher,3,3.3333333333333335,2.3094010767585034
Emiliano Martínez Romero,36,3.3333333333333335,2.563479777846623
