name,Appearances 2021-2023,mean total - bonus 2021 - 2023,Std total - bonus 2021 - 2023,Appearances 2023-24,mean total - bonus 2023-24,Effect size,SE,t,p-value,BH Stat Signf,Effect size label,Current Price (M),Average opposition strength 2023-24
Stefan Ortega Moreno,3,6.0,2.0,1,2.0,-2.0,2.0,-2.0,,False,Very large,3.9,3.0
Alisson Ramses Becker,73,4.219178082191781,2.5993940284359534,10,3.7,-0.19973042813527134,0.8220005666098104,-0.6316030709480345,0.2716767001892188,False,Very small,5.5,3.1
David Raya Martin,62,3.806451612903226,2.110385790831832,6,4.666666666666667,0.40761033243328354,0.861561391326323,0.9984373283477693,0.18195228948566192,False,Small,4.8,3.1666666666666665
Jason Steele,16,3.6875,2.798064807445794,6,2.1666666666666665,-0.5435304176251808,1.1423051742468435,-1.3313721828635374,0.12026873231016964,False,Medium,4.3,3.3333333333333335
Ederson Santana de Moraes,72,3.6666666666666665,2.258006100367263,9,3.7777777777777777,0.049207622199532154,0.7526687001224209,0.14762286659859647,0.44314659529628053,False,Very small,5.5,3.111111111111111
José Malheiro de Sá,73,3.6301369863013697,2.705482342059609,10,2.9,-0.26987312944187863,0.8555486370275127,-0.8534137683137821,0.2077824505533034,False,Small,5.0,3.4
Nick Pope,73,3.5753424657534247,2.2786314619572896,10,3.7,0.05470719435230549,0.720566536790435,0.17299933855078542,0.4332400604229464,False,Very small,5.5,3.1
Aaron Ramsdale,72,3.5416666666666665,2.325229051264643,4,2.75,-0.3404682503154241,1.1626145256323215,-0.6809365006308482,0.2723804561840192,False,Small,4.8,3.25
Sam Johnstone,9,3.4444444444444446,2.697735676039774,10,3.5,0.020593402107173777,0.8530989261379818,0.06512205543038006,0.47475019780392014,False,Very small,4.5,3.2
Bernd Leno,40,3.375,2.1326220769458715,10,3.5,0.058613291755383365,0.674394315150782,0.1853515031069803,0.42853160048252215,False,Very small,4.7,3.1
Emiliano Martínez Romero,36,3.3333333333333335,2.563479777846623,9,2.5555555555555554,-0.3034070268465811,0.8544932592822078,-0.9102210805397433,0.19465328890293526,False,Small,4.9,3.111111111111111
Robert Sánchez,60,3.1666666666666665,2.2106572890698177,10,3.4,0.1055493017787092,0.6990712159513875,0.3337761990611827,0.3730968925893332,False,Very small,4.6,3.0
Norberto Murara Neto,27,3.111111111111111,2.224571407871177,9,2.7777777777777777,-0.14984159742137462,0.7415238026237256,-0.4495247922641239,0.33249126093196457,False,Very small,4.5,3.2222222222222223
Jordan Pickford,72,3.0277777777777777,2.0416247480606184,10,2.5,-0.25850870894816724,0.6456184331238989,-0.8174763152657589,0.2173813960462005,False,Small,4.4,3.0
Robin Olsen,5,2.0,2.6457513110645907,1,2.0,0.0,2.6457513110645907,0.0,,False,None,4.0,2.0
