name,Appearances 2021-2023,mean total - bonus 2021 - 2023,Std total - bonus 2021 - 2023
Mohamed Salah,73,6.191780821917808,4.36735851467889
Son Heung-min,71,5.28169014084507,3.78411378034748
Kevin De Bruyne,62,5.161290322580645,4.129833674208457
Bukayo Saka,76,4.526315789473684,3.2638369412314954
Gabriel Martinelli Silva,65,4.369230769230769,3.080022477440458
James Maddison,65,4.3538461538461535,3.6203883132146952
Jarrod Bowen,74,4.297297297297297,3.338155219064557
Phil Foden,60,4.216666666666667,3.6130257129253716
Martin Ødegaard,73,4.164383561643835,3.018524743747335
Raheem Sterling,58,4.137931034482759,3.658435462085949
Marcus Rashford,60,4.116666666666666,3.324748832958647
Mason Mount,56,4.053571428571429,4.078411646516517
Harvey Barnes,66,4.015151515151516,3.105788264824366
Bruno Borges Fernandes,73,3.958904109589041,3.0976620043921987
Willian Borges da Silva,27,3.888888888888889,2.591900599550206
Leandro Trossard,70,3.8714285714285714,3.340230958652838
Kaoru Mitoma,33,3.8484848484848486,2.7285666122665497
Dejan Kulusevski,48,3.7916666666666665,2.9890461962172097
Diogo Teixeira da Silva,22,3.772727272727273,4.116538284273261
Luis Díaz,30,3.7666666666666666,3.0363695805822215
Jack Grealish,54,3.6296296296296298,2.5350099273840545
Bryan Mbeumo,73,3.6027397260273974,2.8661808019819555
Marcus Tavernier,23,3.5652173913043477,3.230903152040558
James Ward-Prowse,74,3.5405405405405403,2.6128721885458566
Christian Eriksen,39,3.4871794871794872,2.1135128512028807
Morgan Gibbs-White,39,3.4615384615384617,2.751517799766004
Andreas Hoelgebaum Pereira,33,3.4545454545454546,2.0930078399714174
Pascal Groß,66,3.4242424242424243,2.8341901899191653
Saïd Benrahma,67,3.343283582089552,2.9053359415933726
Kai Havertz,64,3.3125,2.7710235344672607
