name,Appearances 2021-2023,mean total - bonus 2021 - 2023,Std total - bonus 2021 - 2023,Appearances 2023-24,mean total - bonus 2023-24,Effect size,SE,t,p-value,BH Stat Signf,Effect size label,Current Price (M),Average opposition strength 2023-24
Mohamed Salah,73,6.191780821917808,4.36735851467889,10,7.2,0.23085331206346393,1.3810800264915208,0.7300222715141714,0.24197190839151989,False,Small,12.8,3.1
Son Heung-min,71,5.28169014084507,3.78411378034748,10,6.7,0.37480634607786356,1.1966418471128148,1.1852417350913662,0.1331363532480743,False,Small,9.5,3.0
Kevin De Bruyne,62,5.161290322580645,4.129833674208457,1,1.0,-1.0076169286353203,4.129833674208457,-1.0076169286353203,,False,Large,10.2,2.0
Bukayo Saka,76,4.526315789473684,3.2638369412314954,9,6.222222222222222,0.5196051344736135,1.0879456470771651,1.5588154034208404,0.07882898735069171,False,Medium,8.6,3.0
Gabriel Martinelli Silva,65,4.369230769230769,3.080022477440458,8,3.375,-0.32279984205082446,1.0889523900025688,-0.9130158291203377,0.19579737329852065,False,Small,7.7,3.25
James Maddison,65,4.3538461538461535,3.6203883132146952,10,5.6,0.3442044715494437,1.1448673084013512,1.0884701109108685,0.1523373032585567,False,Small,8.1,3.0
Jarrod Bowen,74,4.297297297297297,3.338155219064557,10,5.3,0.3003762967570116,1.0556173675422331,0.9498732528788054,0.18349248772137505,False,Small,7.4,3.2
Phil Foden,60,4.216666666666667,3.6130257129253716,10,4.1,-0.032290571929587855,1.1425390497597834,-0.10211175424699583,0.46045342304972753,False,Very small,7.6,3.1
Martin Ødegaard,73,4.164383561643835,3.018524743747335,9,4.666666666666667,0.16640019468559145,1.006174914582445,0.4992005840567743,0.3155372549102289,False,Very small,8.5,3.3333333333333335
Raheem Sterling,58,4.137931034482759,3.658435462085949,10,4.3,0.044300075044875396,1.1568988732922179,0.14008913765819217,0.44583730772785046,False,Very small,7.0,3.0
Marcus Rashford,60,4.116666666666666,3.324748832958647,10,3.2,-0.2757100499080219,1.051377896013602,-0.8718717315080465,0.2029680055760722,False,Small,8.7,3.1
Mason Mount,56,4.053571428571429,4.078411646516517,6,1.6666666666666667,-0.5852535174921547,1.6650045824982769,-1.4335724880248082,0.10557172736479283,False,Medium,6.8,3.1666666666666665
Harvey Barnes,66,4.015151515151516,3.105788264824366,6,2.5,-0.48784765282033743,1.267932749657275,-1.1949778216242655,0.1428402692327232,False,Small,6.2,3.3333333333333335
Bruno Borges Fernandes,73,3.958904109589041,3.0976620043921987,10,3.4,-0.18042772542535843,0.9795667355241854,-0.5705625653876052,0.29112948822784346,False,Very small,8.3,3.1
Willian Borges da Silva,27,3.888888888888889,2.591900599550206,9,2.6666666666666665,-0.47155443477821823,0.8639668665167353,-1.4146633043346548,0.09744406732252082,False,Small,5.3,3.0
Leandro Trossard,70,3.8714285714285714,3.340230958652838,6,3.0,-0.2608887176412588,1.3636435786244916,-0.6390442378701201,0.27545827723726857,False,Small,6.5,3.1666666666666665
Kaoru Mitoma,33,3.8484848484848486,2.7285666122665497,10,4.0,0.055529211137452,0.8628485242251825,0.17559878386673766,0.43224823843448595,False,Very small,6.5,3.4
Dejan Kulusevski,48,3.7916666666666665,2.9890461962172097,10,3.4,-0.1310339957817784,0.9452194011508952,-0.4143658775833155,0.3441538839538152,False,Very small,7.0,3.0
Diogo Teixeira da Silva,22,3.772727272727273,4.116538284273261,9,3.3333333333333335,-0.10673869864701395,1.372179428091087,-0.32021609594104183,0.37850407669509034,False,Very small,7.7,3.111111111111111
Luis Díaz,30,3.7666666666666666,3.0363695805822215,9,3.4444444444444446,-0.10612088340064194,1.012123193527407,-0.31836265020192583,0.3791811034835386,False,Very small,7.5,3.111111111111111
Jack Grealish,54,3.6296296296296298,2.5350099273840545,6,2.0,-0.6428494074227508,1.0349134691634618,-1.574653029636272,0.08807640359442374,False,Medium,7.3,3.1666666666666665
Bryan Mbeumo,73,3.6027397260273974,2.8661808019819555,10,5.8,0.7666160740638565,0.9063659520111027,2.424252884938121,0.01917113321746378,False,Medium,6.7,3.1
Marcus Tavernier,23,3.5652173913043477,3.230903152040558,7,2.2857142857142856,-0.3960202597784337,1.2211666072048606,-1.0477711215169307,0.1675524534179518,False,Small,5.4,3.0
James Ward-Prowse,74,3.5405405405405403,2.6128721885458566,9,4.111111111111111,0.21836910855104258,0.8709573961819522,0.6551073256531277,0.2653901966534923,False,Small,6.3,3.2222222222222223
Christian Eriksen,39,3.4871794871794872,2.1135128512028807,9,2.3333333333333335,-0.5459376096007441,0.7045042837342935,-1.6378128288022322,0.07004763349847279,False,Medium,5.9,3.2222222222222223
Morgan Gibbs-White,39,3.4615384615384617,2.751517799766004,10,2.4,-0.3858010519244098,0.8701063269755686,-1.220010047770022,0.1267321300311846,False,Small,5.8,3.2
Andreas Hoelgebaum Pereira,33,3.4545454545454546,2.0930078399714174,10,2.9,-0.26495144640883317,0.6618671934898888,-0.8378500400079527,0.21190306116425794,False,Small,5.5,3.1
Pascal Groß,66,3.4242424242424243,2.8341901899191653,8,3.625,0.07083419329854555,1.0020375512321154,0.20034935368512105,0.4234519136081685,False,Very small,6.3,3.5
Saïd Benrahma,67,3.343283582089552,2.9053359415933726,8,1.75,-0.5483990884770964,1.0271913729628384,-1.5511068570347055,0.0824067691299703,False,Medium,5.7,3.125
Kai Havertz,64,3.3125,2.7710235344672607,10,2.3,-0.3653884521030086,0.8762745818846641,-1.155459739368848,0.1388276452669032,False,Small,7.1,3.2
